Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,541,541,13000,12439.748177633926,8309.393099998488,16131.703799999741,0.0,6.075394494007761,6.075394494007761,13000,13000,14000,14000,15000,15000,16000,16000,16000,16000,16000
POST,/dashboard,161,161,9300,9809.241759627299,6334.358600000996,15354.059499999494,0.0,1.8080194335217181,1.8080194335217181,9300,12000,13000,13000,14000,15000,15000,15000,15000,15000,15000
POST,/mahasiswa,508,508,12000,11694.789884448828,6441.290799999479,16982.549599999402,0.0,5.704806659807657,5.704806659807657,12000,13000,13000,14000,15000,15000,16000,16000,17000,17000,17000
POST,/mahasiswa/tambah,7370,7065,4100,5443.688669810042,4015.833699999348,66966.46729999884,67446.45495251018,82.76461630468982,79.33948632193129,4100,4100,4100,4100,4100,4300,40000,55000,64000,67000,67000
POST,/verifikasi-login,839,497,4200,4842.307307747312,4090.0870000004943,19382.823499998267,1151.916567342074,9.421914936178394,5.581277381740956,4200,4500,4600,4700,5800,6800,14000,17000,19000,19000,19000
,Aggregated,9419,8772,4100,6203.718683129825,4015.833699999348,66966.46729999884,52876.82673319885,105.77475182820535,98.50898429100938,4100,4100,4200,4300,12000,14000,20000,51000,64000,67000,67000
